entidad,relacion,objetos,pregunta,respuestas,obtenido_de
Kevin Joseph Farrell,Cargo,"['obispo titular', 'cardenal diácono', 'camarlengo de la Cámara Apostólica', 'Prefecto del Dicasterio para los Laicos, la Familia y la Vida', 'obispo de Dallas', 'obispo auxiliar']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Kevin Joseph Farrell?,"['obispo titular', 'cardenal diácono', 'camarlengo de la Cámara Apostólica', 'Prefecto del Dicasterio para los Laicos, la Familia y la Vida', 'obispo de Dallas', 'obispo auxiliar']","['peru', 'peru', 'peru', 'peru', 'peru', 'peru']"
Larry Page,Cargo,"['miembro del consejo de administración', 'director ejecutivo']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Larry Page?,"['miembro del consejo de administración', 'director ejecutivo']","['usa', 'usa']"
Laura Allende,Cargo,['diputado de Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Laura Allende?,['diputado de Chile'],['chile']
Laura Chinchilla Miranda,Cargo,"['Vicepresidente de Costa Rica', 'Presidente de Costa Rica', 'member of the International Olympic Committee']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Laura Chinchilla Miranda?,"['Vicepresidente de Costa Rica', 'Presidente de Costa Rica', 'member of the International Olympic Committee']","['costa_rica', 'costa_rica', 'costa_rica']"
Laureano Gómez,Cargo,"['Presidente de Colombia', 'Canciller de Colombia']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Laureano Gómez?,"['Presidente de Colombia', 'Canciller de Colombia']","['colombia', 'colombia']"
Lena Karyn Gutiérrez Arévalo,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lena Karyn Gutiérrez Arévalo?,['diputado del Congreso Nacional de Honduras'],['honduras']
Leon Schidlowsky,Cargo,['catedrático'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leon Schidlowsky?,['catedrático'],['chile']
Leonardo Argüello Barreto,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leonardo Argüello Barreto?,['Presidente de Nicaragua'],['nicaragua']
Leonardo McNish,Cargo,['defensa'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leonardo McNish?,['defensa'],['guatemala']
Leonardo Márquez,Cargo,['embajador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leonardo Márquez?,['embajador'],['mexico']
Leonardo Ovidio Reyes Ramírez,Cargo,['Governor of the Central Bank of Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leonardo Ovidio Reyes Ramírez?,['Governor of the Central Bank of Nicaragua'],['nicaragua']
Leonidas Proaño,Cargo,['obispo diocesano'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leonidas Proaño?,['obispo diocesano'],['ecuador']
Leopoldo Alejandro Rodríguez,Cargo,['Ayudante del Observatorio Meteorológico de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leopoldo Alejandro Rodríguez?,['Ayudante del Observatorio Meteorológico de El Salvador'],['el_salvador']
Leopoldo Benites,Cargo,['embajador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leopoldo Benites?,['embajador'],['ecuador']
Leopoldo Fortunato Galtieri,Cargo,"['comandante', 'presidente de la Nación Argentina', 'Jefe del Estado Mayor General del Ejército']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Leopoldo Fortunato Galtieri?,"['comandante', 'presidente de la Nación Argentina', 'Jefe del Estado Mayor General del Ejército']","['argentina', 'argentina', 'argentina']"
Leovigildo López Fitoria,Cargo,['obispo de Granada (Nicaragua)'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leovigildo López Fitoria?,['obispo de Granada (Nicaragua)'],['nicaragua']
Leticia Herrera Sánchez,Cargo,['miembro de la Asamblea Nacional de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leticia Herrera Sánchez?,['miembro de la Asamblea Nacional de Nicaragua'],['nicaragua']
León Cortés Castro,Cargo,['Presidente de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa León Cortés Castro?,['Presidente de Costa Rica'],['costa_rica']
León Febres-Cordero Ribadeneyra,Cargo,"['Presidente del Ecuador', 'Alcalde de Guayaquil']",Contesta la siguiente pregunta: ¿Qué cargo ocupa León Febres-Cordero Ribadeneyra?,"['Presidente del Ecuador', 'Alcalde de Guayaquil']","['ecuador', 'ecuador']"
León Roldós Aguilera,Cargo,"['rector', 'Vicepresidente del Ecuador', 'diputado Nacional del Ecuador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa León Roldós Aguilera?,"['rector', 'Vicepresidente del Ecuador', 'diputado Nacional del Ecuador']","['ecuador', 'ecuador', 'ecuador']"
León Trotski,Cargo,"['Ministro de Defensa de la Unión Soviética', ""People's Commissar"", 'Member of the Russian Constituent Assembly', 'miembro del Politburó del comité central del Partido Comunista de la Unión Soviética']",Contesta la siguiente pregunta: ¿Qué cargo ocupa León Trotski?,"['Ministro de Defensa de la Unión Soviética', ""People's Commissar"", 'Member of the Russian Constituent Assembly', 'miembro del Politburó del comité central del Partido Comunista de la Unión Soviética']","['mexico', 'mexico', 'mexico', 'mexico']"
Leónidas Plaza Gutiérrez,Cargo,['Presidente del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Leónidas Plaza Gutiérrez?,['Presidente del Ecuador'],['ecuador']
Ligia Hernández,Cargo,['Diputado del Congreso de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Ligia Hernández?,['Diputado del Congreso de Guatemala'],['guatemala']
Lilian Samaniego,Cargo,['Senador Nacional de Paraguay'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lilian Samaniego?,['Senador Nacional de Paraguay'],['paraguay']
Lino César Oviedo Silva,Cargo,['comandante'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lino César Oviedo Silva?,['comandante'],['paraguay']
Lisandro Mauricio Arias,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lisandro Mauricio Arias?,['diputado del Congreso Nacional de Honduras'],['honduras']
Lizardo Montero Flores,Cargo,"['Vicepresidente del Perú', 'presidente del Perú', 'alcalde de Lima']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Lizardo Montero Flores?,"['Vicepresidente del Perú', 'presidente del Perú', 'alcalde de Lima']","['peru', 'peru', 'peru']"
Lorena Clare Facio,Cargo,['primera dama o primer caballero de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lorena Clare Facio?,['primera dama o primer caballero de Costa Rica'],['costa_rica']
Lorena Enriqueta Herrera,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lorena Enriqueta Herrera?,['diputado del Congreso Nacional de Honduras'],['honduras']
Lorenzo Guerrero Gutiérrez,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lorenzo Guerrero Gutiérrez?,['Presidente de Nicaragua'],['nicaragua']
Lorenzo Zepeda,Cargo,['Diputado de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lorenzo Zepeda?,['Diputado de El Salvador'],['el_salvador']
Lourdes Flores Nano,Cargo,"['congresista del Perú', 'diputado de Perú', 'miembro del Congreso Constituyente Democrático']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Lourdes Flores Nano?,"['congresista del Perú', 'diputado de Perú', 'miembro del Congreso Constituyente Democrático']","['peru', 'peru', 'peru']"
Lourdes Tibán,Cargo,"['afiliado', 'Asambleísta de Ecuador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Lourdes Tibán?,"['afiliado', 'Asambleísta de Ecuador']","['ecuador', 'ecuador']"
Lucas González,Cargo,"['diputado de Argentina', 'senador de Argentina']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Lucas González?,"['diputado de Argentina', 'senador de Argentina']","['argentina', 'argentina']"
Lucio Gutiérrez,Cargo,['Presidente del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lucio Gutiérrez?,['Presidente del Ecuador'],['ecuador']
Lucrecia Marroquín,Cargo,['Diputado del Congreso de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Lucrecia Marroquín?,['Diputado del Congreso de Guatemala'],['guatemala']
Ludolf von Alvensleben,Cargo,"['presidente', 'concejal', 'miembro del Reichstag de la Alemania nazi', 'diputado del Parlamento de Prusia']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Ludolf von Alvensleben?,"['presidente', 'concejal', 'miembro del Reichstag de la Alemania nazi', 'diputado del Parlamento de Prusia']","['argentina', 'argentina', 'argentina', 'argentina']"
Luis Alberto Castiglioni,Cargo,"['vicepresidente del Paraguay', 'Minister of Foreign Affairs', 'Minister of Industry and Commerce']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Alberto Castiglioni?,"['vicepresidente del Paraguay', 'Minister of Foreign Affairs', 'Minister of Industry and Commerce']","['paraguay', 'paraguay', 'paraguay']"
Luis Alberto Luna Tobar,Cargo,"['obispo auxiliar', 'obispo titular de Mulli', 'arzobispo de Cuenca']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Alberto Luna Tobar?,"['obispo auxiliar', 'obispo titular de Mulli', 'arzobispo de Cuenca']","['ecuador', 'ecuador', 'ecuador']"
Luis Alberto Monge Álvarez,Cargo,"['embajador', 'Presidente de Costa Rica']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Alberto Monge Álvarez?,"['embajador', 'Presidente de Costa Rica']","['costa_rica', 'costa_rica']"
Luis Alberto Moreno,Cargo,"['embajador de Colombia en los Estados Unidos', 'presidente del Banco Interamericano de Desarrollo', 'member of the International Olympic Committee']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Alberto Moreno?,"['embajador de Colombia en los Estados Unidos', 'presidente del Banco Interamericano de Desarrollo', 'member of the International Olympic Committee']","['colombia', 'colombia', 'colombia']"
Luis Alberto Riart,Cargo,['presidente de Paraguay'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Alberto Riart?,['presidente de Paraguay'],['paraguay']
Luis Alberto Sánchez,Cargo,"['Presidente del Consejo de Ministros del Perú', 'Vicepresidente del Perú', 'diputado de Perú', 'senador de Perú', 'presidente del Senado de Perú', 'Ministro de la Presidencia del Perú', 'miembro de la Asamblea Constituyente del Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Alberto Sánchez?,"['Presidente del Consejo de Ministros del Perú', 'Vicepresidente del Perú', 'diputado de Perú', 'senador de Perú', 'presidente del Senado de Perú', 'Ministro de la Presidencia del Perú', 'miembro de la Asamblea Constituyente del Perú']","['peru', 'peru', 'peru', 'peru', 'peru', 'peru', 'peru']"
Luis Altamirano,Cargo,['ministro del Interior de Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Altamirano?,['ministro del Interior de Chile'],['chile']
Luis Antonio Sánchez Armijos,Cargo,['obispo diocesano'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Antonio Sánchez Armijos?,['obispo diocesano'],['ecuador']
Luis Arturo González López,Cargo,"['presidente de Guatemala', 'Presidente del Congreso de la República de Guatemala']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Arturo González López?,"['presidente de Guatemala', 'Presidente del Congreso de la República de Guatemala']","['guatemala', 'guatemala']"
Luis Barros Borgoño,Cargo,"['ministro de Relaciones Exteriores de Chile', 'ministro de Defensa Nacional de Chile', 'ministro de Hacienda de Chile', 'ministro del Interior de Chile', 'ambassador of Chile to Argentina']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Barros Borgoño?,"['ministro de Relaciones Exteriores de Chile', 'ministro de Defensa Nacional de Chile', 'ministro de Hacienda de Chile', 'ministro del Interior de Chile', 'ambassador of Chile to Argentina']","['chile', 'chile', 'chile', 'chile', 'chile']"
Luis Bográn,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Bográn?,['presidente de Honduras'],['honduras']
Luis Cabrera Herrera,Cargo,"['administrador apostólico', 'cardenal presbítero', 'arzobispo de Cuenca', 'arzobispo de Guayaquil']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Cabrera Herrera?,"['administrador apostólico', 'cardenal presbítero', 'arzobispo de Cuenca', 'arzobispo de Guayaquil']","['ecuador', 'ecuador', 'ecuador', 'ecuador']"
Luis Calderón Vega,Cargo,['diputado de México'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Calderón Vega?,['diputado de México'],['mexico']
Luis Callejas,Cargo,['diputado'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Callejas?,['diputado'],['nicaragua']
Luis Cardoza y Aragón,Cargo,['Diputado del Congreso de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Cardoza y Aragón?,['Diputado del Congreso de Guatemala'],['guatemala']
Luis Castañeda Lossio,Cargo,['alcalde de Lima'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Castañeda Lossio?,['alcalde de Lima'],['peru']
Luis Chávez y González,Cargo,['arzobispo de San Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Chávez y González?,['arzobispo de San Salvador'],['el_salvador']
Luis Cordero Crespo,Cargo,"['Presidente del Ecuador', 'diputado Nacional del Ecuador', 'President of the Provisional Government of Quito']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Cordero Crespo?,"['Presidente del Ecuador', 'diputado Nacional del Ecuador', 'President of the Provisional Government of Quito']","['ecuador', 'ecuador', 'ecuador']"
Luis Corvalán,Cargo,['senador de Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Corvalán?,['senador de Chile'],['chile']
Luis D'Elía,Cargo,['concejal'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis D'Elía?,['concejal'],['argentina']
Luis Donaldo Colosio,Cargo,"['diputado de México', 'senador de México', 'secretario de Bienestar', 'Candidato presidencial por el Partido Revolucionario Institucional']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Donaldo Colosio?,"['diputado de México', 'senador de México', 'secretario de Bienestar', 'Candidato presidencial por el Partido Revolucionario Institucional']","['mexico', 'mexico', 'mexico', 'mexico']"
Luis Echeverría,Cargo,"['presidente de México', 'Candidato presidencial por el Partido Revolucionario Institucional', 'Secretario de Gobernación']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Echeverría?,"['presidente de México', 'Candidato presidencial por el Partido Revolucionario Institucional', 'Secretario de Gobernación']","['mexico', 'mexico', 'mexico']"
Luis Enrique Monterroso,Cargo,['Ministro de Salud Pública y Asistencia Social'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Enrique Monterroso?,['Ministro de Salud Pública y Asistencia Social'],['guatemala']
Luis Enrique Orellana Ricaurte,Cargo,"['obispo auxiliar', 'obispo titular']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Enrique Orellana Ricaurte?,"['obispo auxiliar', 'obispo titular']","['ecuador', 'ecuador']"
Luis Felipe Carbo y Amador,Cargo,['Canciller del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Felipe Carbo y Amador?,['Canciller del Ecuador'],['ecuador']
Luis Fernando Torres,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Fernando Torres?,['diputado Nacional del Ecuador'],['ecuador']
Luis Flores Asturias,Cargo,['vicepresidente de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Flores Asturias?,['vicepresidente de Guatemala'],['guatemala']
Luis Gabriel Romero Franco,Cargo,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Gabriel Romero Franco?,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']","['colombia', 'colombia', 'colombia']"
Luis Gallegos,Cargo,['Canciller del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Gallegos?,['Canciller del Ecuador'],['ecuador']
Luis Giampietri,Cargo,"['Vicepresidente del Perú', 'congresista del Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Giampietri?,"['Vicepresidente del Perú', 'congresista del Perú']","['peru', 'peru']"
Luis Herrera Campins,Cargo,"['senador vitalicio', 'presidente de Venezuela', 'diputado de Venezuela']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Herrera Campins?,"['senador vitalicio', 'presidente de Venezuela', 'diputado de Venezuela']","['venezuela', 'venezuela', 'venezuela']"
Luis Liberman Ginsburg,Cargo,['Vicepresidente de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Liberman Ginsburg?,['Vicepresidente de Costa Rica'],['costa_rica']
Luis Manresa Formosa,Cargo,"['obispo de Quetzaltenango, Los Altos']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Manresa Formosa?,"['obispo de Quetzaltenango, Los Altos']",['guatemala']
Luis María Estrada Paetau,Cargo,"['obispo titular', 'administrador apostólico', 'vicario apostólico']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis María Estrada Paetau?,"['obispo titular', 'administrador apostólico', 'vicario apostólico']","['guatemala', 'guatemala', 'guatemala']"
Luis María Ramírez Boettner,Cargo,['ministro de Relaciones Exteriores'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis María Ramírez Boettner?,['ministro de Relaciones Exteriores'],['paraguay']
Luis Mejía Montesdeoca,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Mejía Montesdeoca?,['diputado Nacional del Ecuador'],['ecuador']
Luis Miguel Sánchez Cerro,Cargo,['presidente del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Miguel Sánchez Cerro?,['presidente del Perú'],['peru']
Luis Rojas Mena,Cargo,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Rojas Mena?,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']","['mexico', 'mexico', 'mexico']"
Luis Santaló,Cargo,['presidente interino'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Santaló?,['presidente interino'],['argentina']
Luis Solari,Cargo,"['Presidente del Consejo de Ministros del Perú', 'Ministro de Salud del Perú', 'congresista del Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Solari?,"['Presidente del Consejo de Ministros del Perú', 'Ministro de Salud del Perú', 'congresista del Perú']","['peru', 'peru', 'peru']"
Luis Sánchez Moreno Lira,Cargo,"['obispo auxiliar', 'obispo titular', 'Arzobispo de Arequipa']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Sánchez Moreno Lira?,"['obispo auxiliar', 'obispo titular', 'Arzobispo de Arequipa']","['peru', 'peru', 'peru']"
Luis Valencia Rodríguez,Cargo,['Canciller del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Valencia Rodríguez?,['Canciller del Ecuador'],['ecuador']
Luis von Ahn,Cargo,['director ejecutivo'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis von Ahn?,['director ejecutivo'],['guatemala']
Luis Ángel González Macchi,Cargo,['presidente de Paraguay'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Luis Ángel González Macchi?,['presidente de Paraguay'],['paraguay']
Luisa María Cuculiza,Cargo,"['congresista del Perú', 'Ministra de la Mujer y Poblaciones Vulnerables de Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Luisa María Cuculiza?,"['congresista del Perú', 'Ministra de la Mujer y Poblaciones Vulnerables de Perú']","['peru', 'peru']"
Lázaro Cárdenas,Cargo,"['presidente de México', 'ministro de Defensa', 'Gobernador de Michoacán', 'Secretario de la Defensa Nacional de México']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Lázaro Cárdenas?,"['presidente de México', 'ministro de Defensa', 'Gobernador de Michoacán', 'Secretario de la Defensa Nacional de México']","['mexico', 'mexico', 'mexico', 'mexico']"
Magdalena Matte,Cargo,['ministro de Vivienda y Urbanismo de Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Magdalena Matte?,['ministro de Vivienda y Urbanismo de Chile'],['chile']
Maite Orsini,Cargo,['diputado de Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Maite Orsini?,['diputado de Chile'],['chile']
Manco Inca,Cargo,['emperador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manco Inca?,['emperador'],['peru']
Manlio Argueta,Cargo,['director'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manlio Argueta?,['director'],['el_salvador']
Manny Diaz,Cargo,['alcalde de Miami'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manny Diaz?,['alcalde de Miami'],['cuba']
Manu Ginóbili,Cargo,['embajador de buena voluntad de Unicef'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manu Ginóbili?,['embajador de buena voluntad de Unicef'],['argentina']
Manuel Antonio Blas Sáenz,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Antonio Blas Sáenz?,['Presidente de Nicaragua'],['nicaragua']
Manuel Antonio Valarezo Luzuriaga,Cargo,"['obispo titular', 'vicario apostólico']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Antonio Valarezo Luzuriaga?,"['obispo titular', 'vicario apostólico']","['ecuador', 'ecuador']"
Manuel Antonio de la Cerda,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Antonio de la Cerda?,['Presidente de Nicaragua'],['nicaragua']
Manuel Baldizón,Cargo,['Diputado del Congreso de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Baldizón?,['Diputado del Congreso de Guatemala'],['guatemala']
Manuel Baquedano,Cargo,['senador de Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Baquedano?,['senador de Chile'],['chile']
Manuel Bonilla,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Bonilla?,['presidente de Honduras'],['honduras']
Manuel Candamo Iriarte,Cargo,['presidente del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Candamo Iriarte?,['presidente del Perú'],['peru']
Manuel Enrique Araujo,Cargo,"['catedrático', 'presidente de El Salvador', 'Alcalde de San Salvador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Enrique Araujo?,"['catedrático', 'presidente de El Salvador', 'Alcalde de San Salvador']","['el_salvador', 'el_salvador', 'el_salvador']"
Manuel Estrada Cabrera,Cargo,"['vicepresidente de Guatemala', 'presidente de Guatemala', 'Ministro de Gobernación de Guatemala']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Estrada Cabrera?,"['vicepresidente de Guatemala', 'presidente de Guatemala', 'Ministro de Gobernación de Guatemala']","['guatemala', 'guatemala', 'guatemala']"
Manuel Estuardo Roldán Barillas,Cargo,"['embajador en Canadá', 'embajador en la República de Austria', 'embajador en Japón', 'embajador en Brasil', 'embajador de Guatemala', 'embajador en Belice', 'representante permanente en la agencia internacional de la energía atómica']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Estuardo Roldán Barillas?,"['embajador en Canadá', 'embajador en la República de Austria', 'embajador en Japón', 'embajador en Brasil', 'embajador de Guatemala', 'embajador en Belice', 'representante permanente en la agencia internacional de la energía atómica']","['guatemala', 'guatemala', 'guatemala', 'guatemala', 'guatemala', 'guatemala', 'guatemala']"
Manuel Fernando Zurita,Cargo,"['Presidente de Nicaragua', 'miembro de la Asamblea Nacional de Nicaragua', 'embajador de Nicaragua en España']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Fernando Zurita?,"['Presidente de Nicaragua', 'miembro de la Asamblea Nacional de Nicaragua', 'embajador de Nicaragua en España']","['nicaragua', 'nicaragua', 'nicaragua']"
Manuel Ignacio de Vivanco,Cargo,"['presidente del Perú', 'senador de Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Ignacio de Vivanco?,"['presidente del Perú', 'senador de Perú']","['peru', 'peru']"
Manuel José Gómez Rufino,Cargo,['Gobernador de la Provincia de San Juan'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel José Gómez Rufino?,['Gobernador de la Provincia de San Juan'],['argentina']
Manuel José de Arce y Fagoaga,Cargo,"['presidente electo', 'presidente de la República Federal de Centro América']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel José de Arce y Fagoaga?,"['presidente electo', 'presidente de la República Federal de Centro América']","['el_salvador', 'el_salvador']"
Manuel Lisandro Barillas Bercián,Cargo,['presidente de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Lisandro Barillas Bercián?,['presidente de Guatemala'],['guatemala']
Manuel María Ponce Brousset,Cargo,['presidente del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel María Ponce Brousset?,['presidente del Perú'],['peru']
Manuel María de Peralta y Alfaro,Cargo,['Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel María de Peralta y Alfaro?,['Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América'],['costa_rica']
Manuel Menéndez,Cargo,['presidente del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Menéndez?,['presidente del Perú'],['peru']
Manuel Mondragón,Cargo,['ministro'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Mondragón?,['ministro'],['mexico']
Manuel Márquez Sterling,Cargo,"['embajador de Cuba', 'embajador de Cuba en Perú', 'embajador de Cuba en México']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Márquez Sterling?,"['embajador de Cuba', 'embajador de Cuba en Perú', 'embajador de Cuba en México']","['cuba', 'cuba', 'cuba']"
Manuel Odría,Cargo,"['presidente del Perú', 'ministro del Interior del Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Odría?,"['presidente del Perú', 'ministro del Interior del Perú']","['peru', 'peru']"
Manuel Prado Ugarteche,Cargo,"['presidente del Perú', 'diputado de Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Prado Ugarteche?,"['presidente del Perú', 'diputado de Perú']","['peru', 'peru']"
Manuel Rosales,Cargo,"['parlamentario', 'Gobernador del Estado Zulia', 'Municipio Maracaibo']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Rosales?,"['parlamentario', 'Gobernador del Estado Zulia', 'Municipio Maracaibo']","['venezuela', 'venezuela', 'venezuela']"
Manuel Trucco,Cargo,"['embajador', 'senador de Chile', 'ministro del Interior de Chile', 'presidente del Banco Central de Chile']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Trucco?,"['embajador', 'senador de Chile', 'ministro del Interior de Chile', 'presidente del Banco Central de Chile']","['chile', 'chile', 'chile', 'chile']"
Manuel Urrutia Lleó,Cargo,['Presidente de Cuba'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Urrutia Lleó?,['Presidente de Cuba'],['cuba']
Manuel Zelaya,Cargo,"['presidente de Honduras', 'diputado del Congreso Nacional de Honduras']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Zelaya?,"['presidente de Honduras', 'diputado del Congreso Nacional de Honduras']","['honduras', 'honduras']"
Manuel de Jesús Troncoso,Cargo,['presidente de la República Dominicana'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel de Jesús Troncoso?,['presidente de la República Dominicana'],['republica_dominicana']
